beat,beat_num,district,sector,area_x,constituent_block_groups,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049
2,1923,19,2,970893.4642443988,7.000366787358503,10376.193403580803,5721.067119768439,366.9765083058118,154.9983385035884,117.00308580596499,30.997575336049785,29.996661659975334,16.995765071333107,48.0157630120657,977.9637100053116,1357.9686318376664,811.0221984238274,480.0490324102358,259.0072318994528,339.0164563492438,192.037367817533,75.0116482716835,62.98892240459249,56.99852591635807,68.003803394247,53.00605690638021,156.99839678020533,24.008026200461256,24.003488519096518,17.99992493735449,4655.126283812364,189.0238288233144,111.99222295503722,109.99575801482497,31.001445193791856,56.99123534697954,106.99686810508409,229.00419610915648,600.9693252081145,742.0369993528001,831.0460425768194,384.0147472265857,196.01012147161163,264.0087628323098,143.0071540470104,85.00081119944413,51.02305015829313,101.99658461977569,25.996316222045213,144.99177967499944,52.99530414401848,47.00980036275762,32.005608232457675
2,1724,17,2,1808257.8443485557,12.561337319579858,16411.46682819181,8075.768427013332,696.7545788791881,521.0025978783192,354.2430575958126,208.69427961907127,150.6901739142491,120.01784940756644,71.87496271959556,491.5207865110867,796.4911138994585,670.6424680290049,859.2816048423339,503.10626892367014,773.3006161406208,469.1719070918296,515.6551461959637,91.01594375517578,177.12499715136727,94.31421892747566,132.79521301830363,88.081315886431,143.78237201563107,124.01265359492697,22.19430101625034,8335.698401178477,451.736831566578,531.8440420544005,510.02717867377186,304.6425977460353,159.054472389542,193.19668057369586,77.5398562005334,264.7918441085126,749.102336043429,591.6970210328515,825.5504415400361,868.4204719565141,654.3232035431645,428.40199364561806,117.81150228602809,150.78690735194726,123.08228087607245,192.77743826772064,146.14686979688872,173.10415552293242,153.51244962104425,91.36442642380132
2,2024,20,2,816485.6951395738,7.068636757996681,10574.545743782763,5399.830772164312,180.44961063304427,179.54764320682415,164.39648955280617,104.5989356336716,11.00731977221825,35.001556764506105,63.00053945735999,254.57829676252464,588.5808410382367,466.23898734183354,613.3043743622046,161.056095633874,488.69913906332425,461.4610940647599,481.96869879180014,137.7002141203006,234.52186334521917,152.96619248183148,115.03438011972125,210.31814917160386,84.41134568935449,136.94992359008873,74.03908156720442,5174.71497161845,227.11179503419214,195.207295631059,321.19458775288615,62.26816233954972,59.003739665331125,48.50890541570475,50.618831267025136,219.0145705608458,648.2867971918204,423.65348429582565,425.14630339943204,389.546842972968,257.9490086753908,226.27526841101152,188.35600037826381,195.78661199594612,82.40133908399211,123.48278872732672,246.54131518613264,153.6719649568902,133.30136062961685,232.65300037617496
2,1624,16,2,2641826.9298385847,12.558023887833922,16217.284115205512,8308.094168506883,601.43089160465,521.7855069080557,526.9334354739946,279.4978379789229,172.24992298371168,124.13349647541195,104.18730516880667,176.55378263785812,536.752603511187,872.7613417493731,690.4100424168112,505.73960119486173,644.2487185561076,436.65757072408525,709.1385215690522,283.61935884336793,209.46928792038068,166.59975714514806,191.62189718492633,165.22280935429941,172.21475174916935,144.35584017819568,72.50988717850514,7909.189946698631,381.73800063927166,500.51170075152754,321.5677811921995,363.2653423105339,152.2251071892593,122.94219935278531,106.07230165521656,282.24671335760223,514.2763959465755,761.5884581177916,713.338995728531,442.6580877857873,307.9889767346059,583.0877504046293,371.2783237541405,347.46175686586145,141.09954443777377,117.96958712141516,150.56909896628719,219.6196527214094,150.30935466678974,209.05740681469797
5,1655,16,5,159874.15378105137,0.008000769239662291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1632,16,3,3806298.799531034,11.999615426587793,14735.463432812237,7336.726044189256,482.0063033476578,275.0128221856016,377.0119334345693,292.9914713412274,235.9782711871005,53.001981949437,59.00155874325904,217.98621344402068,352.9780524462309,569.9843285539079,482.9938188310067,488.99639543586846,467.9821482975514,716.9516430724024,535.9669760787713,184.9870939323202,149.99446388263897,272.9802385778249,192.98884728939328,394.98117640514135,201.97697193637427,184.98901484013265,144.98431897681849,7398.737388622982,381.0037841284573,494.00172340199737,281.9985797831364,247.9897905242776,237.9857515286154,79.99919060698144,84.9994689851942,211.99403803728933,595.9953707382891,415.00208929944137,376.0064006103308,535.9827844921662,259.99645477989,765.9338515879493,105.99669818245897,227.99432356981941,194.995112310655,302.9885618078683,279.9885177809817,258.9738995157623,329.9492834979155,210.97809849151125
2,1925,19,2,1461423.3568412669,17.181841716014294,23531.942364682774,11756.15283303348,418.43329239949475,264.97700238559213,297.13210143479165,56.99819388747014,12.354033076520192,127.99738621414211,125.7769362764231,921.398227611156,2294.464165895298,1612.5010195436787,1067.9491514701679,874.8327909893958,649.4754474720445,758.8172257050463,630.2251701279437,171.26253737540097,350.68093271989096,105.42540337465084,309.94261077661156,282.3597049381809,247.98322926195263,129.05744637945887,46.108823718168495,11775.789531649292,156.08286956742475,254.12542147790643,190.38680383751435,104.42448976137673,71.0020226259937,22.00473368136961,157.08801545376178,1465.9695613490726,2748.101679891214,1542.6917426419516,1241.9049180735672,432.04320341912734,531.2717238960804,647.3038631709037,200.96057127648692,316.36023736385584,158.24419703984088,210.82829598504904,339.42997070122493,214.99200912007962,143.1076843507742,212.13296707066783
2,1922,19,2,1954118.6975134907,13.997507407798842,18435.360335842735,9218.645367198023,646.9538757483423,423.961784085057,368.9867869100293,160.99210332911807,40.002616303687816,36.96819236050782,251.90259815850337,728.9656127012561,1401.8174684003966,1488.788118803459,1001.829658198622,589.9026208804207,537.8939258363004,507.9026130686858,414.8726813247167,54.989562471390656,83.99339673158237,100.94899528064515,98.99700988097635,136.0014969128211,81.98704776873383,40.985625226420964,19.001576816350372,9216.714968644712,910.8488943537689,465.9718445993427,268.97795964229573,122.99477377932,35.990762787022696,114.00053150058163,81.99530670920896,556.9806113787512,1724.726848670217,1502.7526197480513,1098.840631378722,496.94248813374367,521.94694426137,363.8865544822419,112.96962234289842,113.94922722112098,120.98702383853032,61.98844560109827,147.99771051603335,42.00147798693479,33.99103815666565,50.973786405869404
3,1732,17,3,2193893.6184063763,9.04057552201452,13174.653098735627,6349.554930828277,363.0012408951752,333.7604369926679,333.22229735888294,79.7132287302259,158.17797952453662,12.055057484600548,74.97234340599324,401.068818277849,701.8493285156858,770.2753251906577,466.5437604995216,570.6139226302713,468.67690247905347,484.4627442462678,381.2272683127869,22.195874551674258,143.18146023605223,138.13349080536304,133.70405343389714,131.7633029937878,79.31797190471895,60.540219391501964,41.09790296710538,6825.098167907351,455.05885217104793,460.8520632821378,315.7568119706279,201.02250394654206,231.0026962219227,76.97431406321644,96.57462906848984,298.83472036094633,753.9996441310544,605.1893706911407,458.9738341076113,538.0670357109002,325.9633621943889,530.3935669991499,125.14054563617206,187.40562738579862,176.67662666021502,176.3739177305412,203.06115524599596,135.72746521155412,111.33658332270568,110.36693233580824
2,1921,19,2,2283670.2141399537,9.995172182193048,13363.731202176317,6751.119241708655,855.2749639701424,645.6529662257387,389.70174227549103,164.9769105633257,57.97280300629544,49.93614551408247,20.00043109773337,41.002717177783374,588.9452070274407,758.5520479225855,753.5800020636266,596.8800867331406,537.4950527043527,403.61571633555354,352.70451556742944,101.99014249667015,63.90199176836022,62.88050500205435,80.9687822818178,86.0557352547282,78.97479128394139,24.08735673109125,35.96862870527042,6612.611960467661,447.61491196066606,651.3946535176094,561.0612559102985,213.73421613777214,64.08008305327354,37.97023775723092,23.979422290648564,110.99109190787107,635.6494402536342,786.5411805450703,757.7511755173932,559.5326177141844,518.5444403341785,328.82993753198724,70.99577265612841,119.8700183240337,96.92337904284223,73.06366386631123,74.97541479371026,35.156422069805,119.8987682982104,71.03135509043253
